timestamp_iso,elapsed_s,run_id,run_label,sat_name,elevation_deg,slant_range_km,sat_lat,sat_lon,propagation_one_way_ms,rtt_model_ms,jitter_ms,loss_pct,throughput_mbps,residual_ta_us,residual_cfo_hz,edge_ai_enabled,handover_phase,diag_color,ping_real_delay_ms,ping_real_loss_pct,ping_real_jitter_ms,ping_via
2026-03-10T02:45:54.427Z,0.1,run_20260310_024554_A1,A1,STARLINK-32025,74.265,494.7,34.6022,139.3412,1.65,26.62,1.065,0.08,223.31,0.42,72.7,1,NORMAL,success,,,,
2026-03-10T02:45:54.531Z,0.2,run_20260310_024554_A1,A1,STARLINK-32025,74.34,494.6,34.6068,139.3466,1.65,26.57,1.063,0.15,213.47,0.459,76.7,1,NORMAL,success,,,,
2026-03-10T02:45:54.635Z,0.31,run_20260310_024554_A1,A1,STARLINK-32025,74.414,494.4,34.6114,139.352,1.649,26.42,1.057,0.11,223.58,0.46,67.7,1,NORMAL,success,,,,
2026-03-10T02:45:54.739Z,0.41,run_20260310_024554_A1,A1,STARLINK-32025,74.488,494.2,34.616,139.3574,1.649,26.43,1.057,0.13,219.03,0.432,73.1,1,NORMAL,success,,,,
2026-03-10T02:45:54.843Z,0.52,run_20260310_024554_A1,A1,STARLINK-32025,74.562,494.1,34.6205,139.3628,1.648,26.19,1.048,0.11,215.64,0.444,73.2,1,NORMAL,success,,,,
2026-03-10T02:45:54.947Z,0.62,run_20260310_024554_A1,A1,STARLINK-32025,74.636,493.9,34.6251,139.3682,1.647,26.08,1.043,0.08,224.7,0.451,75.3,1,NORMAL,success,,,,
2026-03-10T02:45:55.051Z,0.72,run_20260310_024554_A1,A1,STARLINK-32025,74.71,493.7,34.6297,139.3737,1.647,26.0,1.04,0.06,220.44,0.459,73.5,1,NORMAL,success,,,,
2026-03-10T02:45:55.155Z,0.83,run_20260310_024554_A1,A1,STARLINK-32025,74.783,493.6,34.6342,139.3791,1.646,25.91,1.036,0.13,220.7,0.408,70.2,1,NORMAL,success,,,,
2026-03-10T02:45:55.260Z,0.93,run_20260310_024554_A1,A1,STARLINK-32025,74.858,493.4,34.6388,139.3846,1.646,25.73,1.029,0.06,221.52,0.447,70.6,1,NORMAL,success,,,,
2026-03-10T02:45:55.364Z,1.04,run_20260310_024554_A1,A1,STARLINK-32025,74.931,493.3,34.6434,139.39,1.645,25.55,1.022,0.12,220.68,0.475,75.3,1,NORMAL,success,,,,
2026-03-10T02:45:55.468Z,1.14,run_20260310_024554_A1,A1,STARLINK-32025,75.005,493.1,34.648,139.3954,1.645,25.6,1.024,0.07,217.99,0.413,68.4,1,NORMAL,success,,,,
2026-03-10T02:45:55.572Z,1.24,run_20260310_024554_A1,A1,STARLINK-32025,75.078,493.0,34.6526,139.4009,1.644,25.49,1.02,0.11,217.04,0.49,70.0,1,NORMAL,success,,,,
2026-03-10T02:45:55.676Z,1.35,run_20260310_024554_A1,A1,STARLINK-32025,75.152,492.8,34.6571,139.4063,1.644,25.62,1.025,0.12,214.49,0.481,67.6,1,NORMAL,success,,,,
2026-03-10T02:45:55.781Z,1.45,run_20260310_024554_A1,A1,STARLINK-32025,75.225,492.6,34.6617,139.4117,1.643,25.61,1.024,0.07,224.59,0.482,75.3,1,NORMAL,success,,,,
2026-03-10T02:45:55.885Z,1.56,run_20260310_024554_A1,A1,STARLINK-32025,75.298,492.5,34.6663,139.4172,1.643,25.54,1.022,0.11,220.64,0.415,69.8,1,NORMAL,success,,,,
2026-03-10T02:45:55.989Z,1.66,run_20260310_024554_A1,A1,STARLINK-32025,75.371,492.3,34.6709,139.4226,1.642,25.48,1.019,0.08,217.01,0.45,68.0,1,NORMAL,success,,,,
2026-03-10T02:45:56.093Z,1.77,run_20260310_024554_A1,A1,STARLINK-32025,75.444,492.2,34.6754,139.428,1.642,25.66,1.026,0.09,221.37,0.494,74.9,1,NORMAL,success,,,,
2026-03-10T02:45:56.197Z,1.87,run_20260310_024554_A1,A1,STARLINK-32025,75.517,492.0,34.68,139.4335,1.641,25.52,1.021,0.11,222.29,0.446,69.1,1,NORMAL,success,,,,
2026-03-10T02:45:56.301Z,1.97,run_20260310_024554_A1,A1,STARLINK-32025,75.589,491.9,34.6845,139.4389,1.641,25.54,1.022,0.07,216.75,0.422,70.9,1,NORMAL,success,,,,
2026-03-10T02:45:56.405Z,2.08,run_20260310_024554_A1,A1,STARLINK-32025,75.662,491.7,34.6891,139.4443,1.64,25.59,1.024,0.12,220.11,0.495,75.5,1,NORMAL,success,,,,
2026-03-10T02:45:56.509Z,2.18,run_20260310_024554_A1,A1,STARLINK-32025,75.734,491.6,34.6937,139.4497,1.64,25.65,1.026,0.11,218.39,0.464,69.4,1,NORMAL,success,,,,
2026-03-10T02:45:56.613Z,2.29,run_20260310_024554_A1,A1,STARLINK-32025,75.807,491.5,34.6982,139.4552,1.639,25.7,1.028,0.15,214.95,0.451,76.5,1,NORMAL,success,,,,
2026-03-10T02:45:56.718Z,2.39,run_20260310_024554_A1,A1,STARLINK-32025,75.879,491.3,34.7028,139.4606,1.639,25.64,1.026,0.08,219.09,0.415,68.7,1,NORMAL,success,,,,
2026-03-10T02:45:56.822Z,2.49,run_20260310_024554_A1,A1,STARLINK-32025,75.951,491.2,34.7074,139.4661,1.638,25.66,1.026,0.15,220.16,0.418,77.0,1,NORMAL,success,,,,
2026-03-10T02:45:56.926Z,2.6,run_20260310_024554_A1,A1,STARLINK-32025,76.023,491.0,34.712,139.4715,1.638,25.63,1.025,0.11,215.56,0.421,70.9,1,NORMAL,success,,,,
2026-03-10T02:45:57.031Z,2.7,run_20260310_024554_A1,A1,STARLINK-32025,76.096,490.9,34.7166,139.477,1.637,25.6,1.024,0.07,215.37,0.49,68.3,1,NORMAL,success,,,,
2026-03-10T02:45:57.136Z,2.81,run_20260310_024554_A1,A1,STARLINK-32025,76.168,490.7,34.7212,139.4825,1.637,25.63,1.025,0.14,223.71,0.463,69.2,1,NORMAL,success,,,,
2026-03-10T02:45:57.240Z,2.91,run_20260310_024554_A1,A1,STARLINK-32025,76.239,490.6,34.7257,139.4879,1.636,25.6,1.024,0.11,214.18,0.435,75.3,1,NORMAL,success,,,,
2026-03-10T02:45:57.344Z,3.02,run_20260310_024554_A1,A1,STARLINK-32025,76.311,490.5,34.7303,139.4934,1.636,25.52,1.021,0.11,222.86,0.421,75.8,1,NORMAL,success,,,,
2026-03-10T02:45:57.448Z,3.12,run_20260310_024554_A1,A1,STARLINK-32025,76.382,490.3,34.7349,139.4988,1.636,25.66,1.026,0.11,224.37,0.457,68.6,1,NORMAL,success,,,,
2026-03-10T02:45:57.552Z,3.22,run_20260310_024554_A1,A1,STARLINK-32025,76.453,490.2,34.7394,139.5043,1.635,30.8,1.232,0.05,222.4,0.401,67.5,1,NORMAL,success,,,,
2026-03-10T02:45:57.656Z,3.33,run_20260310_024554_A1,A1,STARLINK-32025,76.524,490.1,34.744,139.5097,1.635,35.09,1.404,0.07,219.69,0.415,76.0,1,NORMAL,success,,,,
2026-03-10T02:45:57.760Z,3.43,run_20260310_024554_A1,A1,STARLINK-32025,76.595,489.9,34.7486,139.5151,1.634,38.71,1.548,0.11,215.96,0.443,68.8,1,NORMAL,success,,,,
2026-03-10T02:45:57.865Z,3.54,run_20260310_024554_A1,A1,STARLINK-32025,76.665,489.8,34.7531,139.5206,1.634,41.78,1.671,0.12,215.75,0.497,73.1,1,NORMAL,success,,,,
2026-03-10T02:45:57.969Z,3.64,run_20260310_024554_A1,A1,STARLINK-32025,76.736,489.7,34.7577,139.526,1.633,44.44,1.778,0.09,220.63,0.422,75.4,1,NORMAL,success,,,,
2026-03-10T02:45:58.073Z,3.75,run_20260310_024554_A1,A1,STARLINK-32025,76.806,489.5,34.7623,139.5315,1.633,46.67,1.867,0.08,220.88,0.42,71.1,1,NORMAL,success,,,,
2026-03-10T02:45:58.177Z,3.85,run_20260310_024554_A1,A1,STARLINK-32025,76.876,489.4,34.7669,139.5369,1.632,48.51,1.94,0.1,217.44,0.467,71.5,1,NORMAL,success,,,,
2026-03-10T02:45:58.281Z,3.95,run_20260310_024554_A1,A1,STARLINK-32025,76.946,489.3,34.7714,139.5424,1.632,50.03,2.001,0.14,225.18,0.403,72.6,1,NORMAL,success,,,,
2026-03-10T02:45:58.385Z,4.06,run_20260310_024554_A1,A1,STARLINK-32025,77.016,489.2,34.776,139.5478,1.632,51.53,2.061,0.1,216.62,0.458,72.1,1,NORMAL,success,,,,
2026-03-10T02:45:58.489Z,4.16,run_20260310_024554_A1,A1,STARLINK-32025,77.085,489.0,34.7805,139.5533,1.631,52.68,2.107,0.12,219.64,0.499,70.8,1,NORMAL,success,,,,
2026-03-10T02:45:58.593Z,4.27,run_20260310_024554_A1,A1,STARLINK-32025,77.154,488.9,34.7851,139.5587,1.631,53.63,2.145,0.13,217.24,0.419,71.3,1,NORMAL,success,,,,
2026-03-10T02:45:58.697Z,4.37,run_20260310_024554_A1,A1,STARLINK-32025,77.223,488.8,34.7896,139.5642,1.63,54.49,2.18,0.09,222.99,0.444,75.3,1,NORMAL,success,,,,
2026-03-10T02:45:58.801Z,4.47,run_20260310_024554_A1,A1,STARLINK-32025,77.292,488.7,34.7942,139.5696,1.63,55.29,2.212,0.1,218.62,0.402,73.6,1,NORMAL,success,,,,
2026-03-10T02:45:58.906Z,4.58,run_20260310_024554_A1,A1,STARLINK-32025,77.362,488.5,34.7988,139.5751,1.63,55.92,2.237,0.06,223.1,0.491,76.0,1,NORMAL,success,,,,
2026-03-10T02:45:59.010Z,4.68,run_20260310_024554_A1,A1,STARLINK-32025,77.43,488.4,34.8034,139.5805,1.629,56.55,2.262,0.12,221.17,0.489,69.8,1,NORMAL,success,,,,
2026-03-10T02:45:59.114Z,4.79,run_20260310_024554_A1,A1,STARLINK-32025,77.498,488.3,34.8079,139.586,1.629,56.83,2.273,0.09,223.18,0.405,71.0,1,NORMAL,success,,,,
2026-03-10T02:45:59.218Z,4.89,run_20260310_024554_A1,A1,STARLINK-32025,77.566,488.2,34.8125,139.5914,1.628,57.21,2.288,0.1,218.55,0.443,71.2,1,NORMAL,success,,,,
2026-03-10T02:45:59.322Z,4.99,run_20260310_024554_A1,A1,STARLINK-32025,77.634,488.1,34.817,139.5969,1.628,57.58,2.303,0.11,218.77,0.402,74.1,1,NORMAL,success,,,,
2026-03-10T02:45:59.426Z,5.1,run_20260310_024554_A1,A1,STARLINK-32025,77.701,487.9,34.8216,139.6023,1.628,57.66,2.306,0.05,214.85,0.466,67.1,1,NORMAL,success,,,,
2026-03-10T02:45:59.530Z,5.2,run_20260310_024554_A1,A1,STARLINK-32025,77.769,487.8,34.8261,139.6078,1.627,58.08,2.323,0.11,224.75,0.459,73.0,1,NORMAL,success,,,,
2026-03-10T02:45:59.634Z,5.31,run_20260310_024554_A1,A1,STARLINK-32025,77.836,487.7,34.8307,139.6132,1.627,53.15,2.126,0.09,223.23,0.489,75.9,1,NORMAL,success,,,,
2026-03-10T02:45:59.739Z,5.41,run_20260310_024554_A1,A1,STARLINK-32025,77.903,487.6,34.8353,139.6187,1.626,49.01,1.96,0.07,222.91,0.496,75.0,1,NORMAL,success,,,,
2026-03-10T02:45:59.843Z,5.51,run_20260310_024554_A1,A1,STARLINK-32025,77.969,487.5,34.8398,139.6241,1.626,45.68,1.827,0.13,215.93,0.462,73.7,1,NORMAL,success,,,,
2026-03-10T02:45:59.946Z,5.62,run_20260310_024554_A1,A1,STARLINK-32025,78.035,487.4,34.8444,139.6296,1.626,42.56,1.702,0.1,220.45,0.461,71.3,1,NORMAL,success,,,,
2026-03-10T02:46:00.050Z,5.72,run_20260310_024554_A1,A1,STARLINK-32025,78.101,487.3,34.8489,139.635,1.625,39.92,1.597,0.14,213.86,0.471,68.6,1,NORMAL,success,,,,
2026-03-10T02:46:00.154Z,5.83,run_20260310_024554_A1,A1,STARLINK-32025,78.167,487.2,34.8535,139.6405,1.625,37.84,1.514,0.07,221.43,0.448,74.6,1,NORMAL,success,,,,
2026-03-10T02:46:00.258Z,5.93,run_20260310_024554_A1,A1,STARLINK-32025,78.233,487.1,34.858,139.6459,1.625,36.0,1.44,0.15,225.02,0.42,75.8,1,NORMAL,success,,,,
2026-03-10T02:46:00.363Z,6.04,run_20260310_024554_A1,A1,STARLINK-32025,78.299,486.9,34.8626,139.6515,1.624,34.46,1.378,0.14,223.21,0.493,74.1,1,NORMAL,success,,,,
2026-03-10T02:46:00.468Z,6.14,run_20260310_024554_A1,A1,STARLINK-32025,78.364,486.8,34.8672,139.6569,1.624,32.99,1.32,0.11,213.74,0.47,71.3,1,NORMAL,success,,,,
2026-03-10T02:46:00.572Z,6.24,run_20260310_024554_A1,A1,STARLINK-32025,78.429,486.7,34.8718,139.6624,1.624,31.82,1.273,0.08,223.06,0.403,70.9,1,NORMAL,success,,,,
2026-03-10T02:46:00.676Z,6.35,run_20260310_024554_A1,A1,STARLINK-32025,78.493,486.6,34.8763,139.6679,1.623,30.86,1.234,6.14,192.11,0.483,72.8,1,NORMAL,success,,,,
2026-03-10T02:46:00.780Z,6.45,run_20260310_024554_A1,A1,STARLINK-32025,78.557,486.5,34.8809,139.6733,1.623,29.94,1.198,0.07,221.95,0.452,73.9,1,NORMAL,success,,,,
2026-03-10T02:46:00.884Z,6.56,run_20260310_024554_A1,A1,STARLINK-32025,78.621,486.4,34.8854,139.6788,1.623,29.27,1.171,0.14,219.95,0.425,76.4,1,NORMAL,success,,,,
2026-03-10T02:46:00.988Z,6.66,run_20260310_024554_A1,A1,STARLINK-32025,78.684,486.3,34.89,139.6842,1.622,28.74,1.15,0.09,215.29,0.436,68.6,1,NORMAL,success,,,,
2026-03-10T02:46:01.092Z,6.76,run_20260310_024554_A1,A1,STARLINK-32025,78.747,486.2,34.8945,139.6897,1.622,28.19,1.128,0.13,218.69,0.444,68.1,1,NORMAL,success,,,,
2026-03-10T02:46:01.196Z,6.87,run_20260310_024554_A1,A1,STARLINK-32025,78.81,486.1,34.8991,139.6952,1.622,27.69,1.108,0.1,224.74,0.462,67.8,1,NORMAL,success,,,,
2026-03-10T02:46:01.300Z,6.97,run_20260310_024554_A1,A1,STARLINK-32025,78.873,486.0,34.9036,139.7006,1.621,27.26,1.09,0.15,218.51,0.495,69.2,1,NORMAL,success,,,,
2026-03-10T02:46:01.404Z,7.08,run_20260310_024554_A1,A1,STARLINK-32025,78.935,485.9,34.9082,139.7061,1.621,27.09,1.084,0.08,219.89,0.455,67.1,1,NORMAL,success,,,,
2026-03-10T02:46:01.508Z,7.18,run_20260310_024554_A1,A1,STARLINK-32025,78.997,485.9,34.9127,139.7115,1.621,26.87,1.075,0.06,225.45,0.462,73.4,1,NORMAL,success,,,,
2026-03-10T02:46:01.612Z,7.28,run_20260310_024554_A1,A1,STARLINK-32025,79.058,485.8,34.9173,139.717,1.62,26.74,1.07,0.14,222.05,0.408,67.1,1,NORMAL,success,,,,
