timestamp_iso,elapsed_s,run_id,run_label,sat_name,elevation_deg,slant_range_km,sat_lat,sat_lon,propagation_one_way_ms,rtt_model_ms,jitter_ms,loss_pct,throughput_mbps,residual_ta_us,residual_cfo_hz,edge_ai_enabled,handover_phase,diag_color,ping_real_delay_ms,ping_real_loss_pct,ping_real_jitter_ms,ping_via
2026-03-10T03:04:56.546Z,0.03,run_20260310_030456_D1,D1,STARLINK-31463,39.041,732.4,33.6805,144.9298,2.443,28.64,1.146,0.29,157.97,0.49,69.7,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:56.651Z,0.14,run_20260310_030456_D1,D1,STARLINK-31463,39.0,733.0,33.6773,144.9364,2.445,28.41,1.136,0.37,154.53,0.457,72.4,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:56.756Z,0.24,run_20260310_030456_D1,D1,STARLINK-31463,38.959,733.5,33.6741,144.943,2.447,28.35,1.134,0.26,160.75,0.405,71.7,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:56.860Z,0.35,run_20260310_030456_D1,D1,STARLINK-31463,38.918,734.0,33.6709,144.9495,2.449,28.22,1.129,0.56,155.14,0.461,71.3,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:56.963Z,0.45,run_20260310_030456_D1,D1,STARLINK-31463,38.877,734.6,33.6677,144.9561,2.45,28.17,1.127,0.47,148.38,0.442,70.0,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:57.068Z,0.56,run_20260310_030456_D1,D1,STARLINK-31463,38.837,735.1,33.6645,144.9626,2.452,28.1,1.124,0.44,158.3,0.404,76.1,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:57.172Z,0.66,run_20260310_030456_D1,D1,STARLINK-31463,38.796,735.7,33.6613,144.9692,2.454,28.06,1.122,0.44,158.23,0.408,71.6,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:57.277Z,0.76,run_20260310_030456_D1,D1,STARLINK-31463,38.755,736.2,33.6581,144.9757,2.456,28.0,1.12,0.35,156.51,0.402,70.8,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:57.381Z,0.87,run_20260310_030456_D1,D1,STARLINK-31463,38.715,736.8,33.6549,144.9823,2.458,27.98,1.119,0.44,157.12,0.414,73.2,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:57.485Z,0.97,run_20260310_030456_D1,D1,STARLINK-31463,38.674,737.3,33.6517,144.9889,2.459,28.02,1.121,0.35,158.77,0.499,70.2,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:57.590Z,1.08,run_20260310_030456_D1,D1,STARLINK-31463,38.634,737.9,33.6485,144.9954,2.461,27.97,1.119,0.5,157.67,0.431,69.3,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:57.694Z,1.18,run_20260310_030456_D1,D1,STARLINK-31463,38.594,738.4,33.6453,145.002,2.463,28.07,1.123,0.32,158.02,0.447,67.8,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
2026-03-10T03:04:57.798Z,1.29,run_20260310_030456_D1,D1,STARLINK-31463,38.553,739.0,33.6421,145.0085,2.465,28.07,1.123,0.53,151.64,0.474,75.5,1,PRE_WARN,success,23.95,10.0,44.31,WireGuard
